Sunset Times,Date,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
2019,1,19:26,19:19,18:52,18:14,17:40,17:21,17:23,17:40,18:00,18:18,18:41,19:07
,2,19:26,19:18,18:51,18:12,17:39,17:20,17:24,17:41,18:00,18:19,18:42,19:08
,3,19:26,19:17,18:50,18:11,17:38,17:20,17:24,17:42,18:01,18:19,18:43,19:09
,4,19:26,19:16,18:49,18:10,17:37,17:20,17:24,17:42,18:02,18:20,18:43,19:10
,5,19:26,19:16,18:48,18:09,17:36,17:20,17:25,17:43,18:02,18:21,18:44,19:10
,6,19:26,19:15,18:46,18:07,17:35,17:20,17:25,17:44,18:03,18:21,18:45,19:11
,7,19:26,19:14,18:45,18:06,17:34,17:19,17:26,17:44,18:03,18:22,18:46,19:12
,8,19:26,19:13,18:44,18:05,17:34,17:19,17:26,17:45,18:04,18:23,18:47,19:13
,9,19:26,19:13,18:43,18:04,17:33,17:19,17:27,17:45,18:05,18:23,18:48,19:14
,10,19:26,19:12,18:41,18:02,17:32,17:19,17:27,17:46,18:05,18:24,18:49,19:14
,11,19:26,19:11,18:40,18:01,17:31,17:19,17:28,17:47,18:06,18:25,18:49,19:15
,12,19:26,19:10,18:39,18:00,17:30,17:19,17:28,17:47,18:06,18:25,18:50,19:16
,13,19:26,19:09,18:38,17:59,17:30,17:19,17:29,17:48,18:07,18:26,18:51,19:16
,14,19:26,19:08,18:36,17:58,17:29,17:19,17:29,17:49,18:08,18:27,18:52,19:17
,15,19:26,19:07,18:35,17:57,17:28,17:19,17:30,17:49,18:08,18:28,18:53,19:18
,16,19:26,19:06,18:34,17:55,17:28,17:19,17:31,17:50,18:09,18:28,18:54,19:18
,17,19:25,19:05,18:33,17:54,17:27,17:20,17:31,17:50,18:09,18:29,18:55,19:19
,18,19:25,19:04,18:31,17:53,17:26,17:20,17:32,17:51,18:10,18:30,18:56,19:20
,19,19:25,19:03,18:30,17:52,17:26,17:20,17:32,17:52,18:11,18:30,18:57,19:20
,20,19:25,19:02,18:29,17:51,17:25,17:20,17:33,17:52,18:11,18:31,18:58,19:21
,21,19:24,19:01,18:28,17:50,17:25,17:20,17:33,17:53,18:12,18:32,18:58,19:21
,22,19:24,19:00,18:26,17:49,17:24,17:20,17:34,17:54,18:12,18:33,18:59,19:22
,23,19:23,18:59,18:25,17:48,17:24,17:21,17:35,17:54,18:13,18:34,19:00,19:22
,24,19:23,18:58,18:24,17:47,17:23,17:21,17:35,17:55,18:14,18:34,19:01,19:23
,25,19:23,18:57,18:22,17:46,17:23,17:21,17:36,17:55,18:14,18:35,19:02,19:23
,26,19:22,18:56,18:21,17:44,17:23,17:21,17:37,17:56,18:15,18:36,19:03,19:24
,27,19:22,18:55,18:20,17:43,17:22,17:22,17:37,17:57,18:15,18:37,19:04,19:24
,28,19:21,18:53,18:19,17:42,17:22,17:22,17:38,17:57,18:16,18:38,19:05,19:24
,29,19:20,,18:17,17:42,17:21,17:22,17:38,17:58,18:17,18:38,19:05,19:25
,30,19:20,,18:16,17:41,17:21,17:23,17:39,17:59,18:17,18:39,19:06,19:25
,31,19:19,,18:15,,17:21,,17:40,17:59,,18:40,,19:25
